Id,Expected
532,0
533,0
534,0
535,1
536,0
537,2
538,1
539,1
540,0
541,0
542,0
543,0
544,0
545,0
546,2
547,0
548,0
549,0
550,1
551,1
552,0
553,0
554,1
555,1
556,1
557,0
558,1
559,2
560,0
561,1
562,0
563,0
564,1
565,0
566,0
567,1
568,0
569,0
570,1
571,0
572,0
573,1
574,1
575,2
576,1
577,0
578,0
579,2
580,0
581,0
582,0
583,0
584,0
585,2
586,0
587,0
588,0
589,1
590,1
591,1
592,1
593,0
594,0
595,2
596,1
597,2
598,0
599,0
600,2
601,1
602,0
603,1
604,2
605,0
606,1
607,0
608,0
609,0
610,0
611,1
612,0
613,1
614,0
615,0
616,0
617,1
618,0
619,0
620,2
621,0
622,0
623,1
624,0
625,0
626,0
627,0
628,0
629,0
630,1
631,0
632,1
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,1
641,1
642,1
643,1
644,1
645,2
646,2
647,0
648,0
649,1
650,1
651,0
652,0
653,0
654,0
655,0
656,0
657,1
658,2
659,2
660,0
661,1
662,0
663,0
664,0
665,1
666,2
667,0
668,0
669,0
670,1
671,0
672,0
673,0
674,2
675,1
676,0
677,0
678,1
679,2
680,0
681,1
682,1
683,0
684,0
685,1
686,1
687,2
688,0
689,0
690,1
691,0
692,1
693,1
694,2
695,1
696,0
697,0
698,2
699,0
700,1
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,1
709,0
710,0
711,2
712,0
713,1
714,0
715,1
716,1
717,0
718,1
719,0
720,0
721,0
722,0
723,1
724,1
725,1
726,0
727,1
728,0
729,0
730,2
731,1
732,0
733,0
734,2
735,1
736,0
737,1
738,1
739,1
740,0
741,1
742,0
743,2
744,1
745,1
746,0
747,2
748,2
749,2
750,1
751,0
752,0
753,0
754,0
755,1
756,0
757,1
758,0
759,0
760,1
761,1
762,0
763,0
764,0
765,1
766,1
767,1
768,0
769,0
770,1
771,2
772,0
773,1
774,1
775,0
776,1
777,1
778,2
779,1
780,1
781,0
782,1
783,0
784,2
785,2
786,0
787,1
788,1
789,1
790,0
791,1
792,0
793,1
794,0
795,0
796,1
797,0
798,0
799,1
800,1
801,1
802,0
803,1
804,0
805,0
806,0
807,0
808,0
809,0
810,1
811,1
812,0
813,0
814,2
815,0
816,0
817,0
818,0
819,0
820,1
821,2
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,1
830,0
831,1
832,0
833,0
834,0
835,1
836,1
837,0
838,1
839,0
840,1
841,0
842,1
843,0
844,1
845,0
846,0
847,0
848,0
849,1
850,0
851,0
852,2
853,0
854,0
855,0
856,0
857,1
858,1
859,0
860,0
861,0
862,1
863,2
864,0
865,0
866,2
867,1
868,1
869,1
870,2
871,0
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,2
880,1
881,0
882,1
883,1
884,1
885,0
886,0
887,0
888,2
889,1
890,0
891,0
892,0
893,1
894,1
895,0
896,1
897,1
898,0
899,1
900,0
901,0
902,0
903,1
904,1
905,0
906,1
907,0
908,1
909,1
910,0
911,0
912,0
913,2
914,0
915,1
916,0
917,2
918,0
919,0
920,0
921,0
922,0
923,0
924,1
925,1
926,2
927,0
928,1
929,1
930,0
931,1
932,1
933,0
934,1
935,1
936,0
937,0
938,1
939,0
940,0
941,0
942,0
943,0
944,1
945,0
946,0
947,0
948,1
949,1
950,0
951,0
952,0
953,1
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,1
965,2
966,0
967,0
968,0
969,2
970,1
971,0
972,2
973,0
974,0
975,1
976,0
977,0
978,1
979,0
980,0
981,0
982,0
983,0
984,1
985,0
986,0
987,1
988,0
989,1
990,1
991,2
992,0
993,0
994,0
995,1
996,0
997,0
998,2
999,0
1000,0
1001,1
1002,0
1003,0
1004,0
1005,1
1006,1
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,2
1014,1
1015,1
1016,1
1017,2
1018,0
1019,2
1020,1
1021,0
1022,1
1023,2
1024,0
1025,2
1026,1
1027,1
1028,1
1029,0
1030,0
1031,1
1032,0
1033,1
1034,1
1035,0
1036,1
1037,0
1038,0
1039,0
1040,1
1041,0
1042,1
1043,1
1044,1
1045,0
1046,1
1047,2
1048,0
1049,0
1050,1
1051,1
1052,0
1053,0
1054,1
1055,0
1056,0
1057,2
1058,0
1059,1
1060,0
1061,0
1062,0
1063,1
1064,0
1065,2
1066,1
1067,0
1068,0
1069,0
1070,1
1071,2
1072,1
1073,0
1074,0
1075,0
1076,1
1077,1
1078,0
1079,1
1080,0
1081,2
1082,0
1083,0
1084,0
1085,0
1086,1
1087,0
